samples,eens_kwh,cvar_kwh,positive_scenarios
985,3.2681133671065994,65.36226734213191,4
986,3.2647988505070993,65.29597701014194,4
987,3.261491050253292,65.22982100506579,4
988,3.2581899459514183,65.16379891902831,4
989,3.254895517290193,65.09791034580381,4
990,3.251607744040405,65.03215488080805,4
991,4.657123556385246,93.14247112770484,5
992,4.652428875380827,93.04857750761646,5
993,4.647743649927267,92.95487299854526,5
994,4.6430678514867,92.8613570297339,5
995,4.638401451635957,92.76802903271906,5
996,4.633744422066043,92.67488844132077,5
997,4.6290967345815215,92.58193469163035,5
998,4.624458361099979,92.4891672219995,5
999,4.61982927365143,92.39658547302851,5
1000,4.6152094443777765,92.30418888755543,5
1001,4.610598845532244,92.21197691064481,5
1002,4.605997449478821,92.11994898957633,5
1003,4.6014052286917035,92.028104573834,5
1004,4.596822155754761,91.93644311509513,5
1005,4.592248203360974,91.8449640672194,5
1006,4.587683344311906,91.75366688623805,5
1007,4.583127551517159,91.66255103034311,5
1008,4.578580797993827,91.57161595987647,5
1009,4.574043056865985,91.48086113731962,5
1010,4.569514301364135,91.39028602728263,5
1011,4.564994504824705,91.29989009649402,5
1012,4.560483640689506,91.20967281379005,5
1013,4.55598168250521,91.11963365010412,5
1014,4.551488603922858,91.02977207845709,5
1015,4.54700437869732,90.94008757394631,5
1016,4.5425289806867895,90.85057961373573,5
1017,4.53806238385229,90.76124767704573,5
1018,4.53360456225715,90.6720912451429,5
1019,4.529155490066515,90.58310980133024,5
1020,4.524715141546841,90.49430283093675,5
1021,4.520283491065404,90.40566982130801,5
1022,4.515860513089803,90.31721026179598,5
1023,4.511446182187468,90.2289236437493,5
1024,4.5070404730251745,90.14080946050339,5
1025,4.5026433603685625,90.05286720737115,5
1026,4.498254819081655,89.96509638163302,5
1027,4.493874824126365,89.87749648252722,5
1028,4.489503350562042,89.79006701124074,5
1029,4.485140373544974,89.7028074708994,5
1030,4.48078586832794,89.61571736655873,5
1031,4.476439810259725,89.52879620519441,5
1032,4.472102174784668,89.44204349569328,5
1033,4.467772937442184,89.3554587488436,5
1034,4.463452073866322,89.26904147732638,5
1035,4.459139559785294,89.1827911957058,5
1036,4.454835371021022,89.09670742042036,5
1037,4.450539483488695,89.01078966977383,5
1038,4.446251873196318,88.92503746392629,5
1039,4.4419725162442525,88.83945032488496,5
1040,4.437701388824787,88.75402777649566,5
1041,4.433438467221689,88.66876934443371,5
1042,4.429183727809768,88.58367455619528,5
1043,4.424937147054438,88.49874294108866,5
1044,4.420698701511283,88.41397403022557,5
1045,4.416468367825626,88.32936735651242,5
1046,4.4122461227321015,88.24492245464195,5
1047,4.408031943054228,88.1606388610845,5
1048,4.403825805703987,88.07651611407967,5
1049,4.399627687681389,87.9925537536277,5
1050,4.395437566074072,87.90875132148138,5
1051,4.391255418056877,87.82510836113747,5
1052,4.3870812208914245,87.74162441782842,5
1053,4.382914951925714,87.6582990385142,5
1054,4.378756588593719,87.57513177187431,5
1055,4.374606108414955,87.49212216829905,5
1056,4.370463488994109,87.40926977988211,5
1057,4.3663287080206015,87.32657416041197,5
1058,4.362201743268221,87.24403486536433,5
1059,4.358082572594691,87.16165145189373,5
1060,4.3539711739413,87.07942347882593,5
1061,4.349867525332496,86.99735050664985,5
1062,4.345771604875498,86.91543209750986,5
1063,4.341683390759904,86.83366781519801,5
1064,4.337602861257311,86.75205722514613,5
1065,4.333529994720918,86.67059989441829,5
1066,4.329464769585155,86.58929539170303,5
1067,4.3254071643653,86.50814328730593,5
1068,4.321357157657096,86.42714315314184,5
1069,4.317314728136369,86.3462945627273,5
1070,4.313279854558671,86.26559709117333,5
1071,4.309252515758898,86.18505031517788,5
1072,4.305232690650913,86.10465381301817,5
1073,4.3012203582271935,86.02440716454382,5
1074,4.297215497558453,85.94430995116898,5
1075,4.293218087793282,85.86436175586557,5
1076,4.289228108157788,85.78456216315568,5
1077,4.285245537955225,85.70491075910442,5
1078,4.281270356565657,85.62540713131307,5
1079,4.277302543445576,85.54605086891145,5
1080,4.273342078127574,85.46684156255141,5
1081,4.269388940219962,85.38777880439916,5
1082,4.2654431094064496,85.30886218812891,5
1083,4.261504565445779,85.23009130891549,5
1084,4.257573288171384,85.1514657634276,5
1085,4.253649257491039,85.07298514982071,5
1086,4.249732453386536,84.99464906773065,5
1087,4.245822855913319,84.91645711826631,5
1088,4.241920445200163,84.83840890400319,5
1089,4.238025201448832,84.76050402897657,5
1090,4.234137104933742,84.68274209867477,5
1091,4.230256136001631,84.60512272003254,5
1092,4.226382275071225,84.52764550142443,5
1093,4.222515502632918,84.45031005265828,5
1094,4.218655799248427,84.37311598496844,5
1095,4.214803145550481,84.29606291100954,5
1096,4.210957522242499,84.2191504448499,5
1097,4.207118910098249,84.1423782019649,5
1098,4.203287289961546,84.06574579923083,5
1099,4.199462642745932,83.98925285491856,5
1100,4.195644949434344,83.9128989886868,5
1101,4.191834191078819,83.83668382157632,5
1102,4.1880303488001625,83.76060697600317,5
1103,4.184233403787651,83.68466807575294,5
1104,4.180443337298712,83.60886674597418,5
