samples,EENS_kwh,CVaR95_kwh
579,31.383573690097872,627.6714738019574
580,31.32946408028736,626.5892816057471
581,31.27554073419392,625.5108146838784
582,31.221802691695306,624.436053833906
583,31.16824899925672,623.3649799851344
584,31.114878709874432,622.2975741974885
585,31.061690883019946,621.2338176603989
586,31.008684584584756,620.1736916916951
587,30.95585888682567,619.1171777365133
588,30.90321286831066,618.0642573662132
589,30.85074561386531,617.0149122773062
590,30.798456214519774,615.9691242903955
591,30.746343767456292,614.9268753491258
592,30.71459318676802,614.2918637353604
593,30.662797920011243,613.2559584002248
594,30.611177048092035,612.2235409618406
595,30.559729691708686,611.1945938341737
596,30.508454977460854,610.1690995492171
597,30.457352037800113,609.1470407560023
598,30.40642001098105,608.128400219621
599,30.355658041012802,607.113160820256
600,30.305065277611114,606.1013055522222
601,30.254640876150862,605.0928175230173
602,30.20438399761905,604.087679952381
603,30.154293808568273,603.0858761713654
604,30.104369481070645,602.0873896214129
605,30.05461019267218,601.0922038534436
606,30.005015126347637,600.1003025269528
607,29.955583470455796,599.1116694091158
608,29.906314418695178,598.1262883739035
609,29.85720717006021,597.1441434012041
610,29.808260928797818,596.1652185759564
611,29.75947490436443,595.1894980872886
612,29.710848311383444,594.2169662276689
613,29.66238036960305,593.2476073920609
614,29.614070303854508,592.2814060770901
615,29.565917344010842,591.3183468802168
616,29.517920724945892,590.3584144989178
617,29.47007968649379,589.4015937298758
618,29.42239347340885,588.4478694681769
619,29.374861335325797,587.4972267065159
620,29.327482526720434,586.5496505344087
621,29.28025630687064,585.6051261374129
622,29.233181939817793,584.6636387963558
623,29.186258694328522,583.7251738865704
624,29.13948584385684,582.7897168771368
625,29.09286266650667,581.8572533301334
626,29.04638844499468,580.9277688998935
627,29.000062466613507,580.00124933227
628,28.953884023195332,579.0776804639066
629,28.907852411075783,578.1570482215157
630,28.861966931058205,577.239338621164
631,28.81622688837824,576.3245377675647
632,28.770631592668778,575.4126318533755
633,28.725180357925225,574.5036071585045
634,28.679872502471085,573.5974500494217
635,28.634707348923886,572.6941469784778
636,28.589684224161427,571.7936844832285
637,28.544802459288334,570.8960491857666
638,28.50006138960293,570.0012277920586
639,28.455460354564426,569.1092070912885
640,28.41099869776042,568.2199739552084
641,28.36667576687468,567.3335153374935
642,28.322490913655248,566.4498182731049
643,28.278443493882843,565.5688698776569
644,28.234532867339546,564.6906573467909
645,28.19075839777778,563.8151679555556
646,28.14711945288958,562.9423890577915
647,28.103615404276148,562.072308085523
648,28.060245627417697,561.204912548354
649,28.017009501643557,560.3401900328711
650,27.97390641010257,559.4781282020514
651,27.930935739733744,558.6187147946748
652,27.88809688123722,557.7619376247444
653,27.845389229045434,556.9077845809087
654,27.8028121812946,556.056243625892
655,27.76036513979644,555.2073027959289
656,27.718047510010166,554.3609502002032
657,27.675858701014715,553.5171740202943
658,27.63379812548126,552.6759625096252
659,27.59186519964593,551.8373039929186
660,27.550059343282832,551.0011868656566
661,27.508379979677258,550.1675995935451
662,27.466826535599196,549.3365307119839
663,27.425398441277025,548.5079688255405
664,27.384095130371488,547.6819026074297
665,27.342916039949877,546.8583207989975
666,27.301860610460462,546.0372122092092
667,27.26092828570715,545.218565714143
668,27.220118512824353,544.4023702564871
669,27.17943074225212,543.5886148450423
670,27.138864427711447,542.7772885542289
671,33.09188335593641,661.8376671187283
672,33.04263948189484,660.8527896378969
673,32.99354194923229,659.870838984646
674,32.94459010657764,658.8918021315529
675,32.89578330641975,657.9156661283952
676,32.847120905078896,656.9424181015779
677,32.79860226267848,655.9720452535697
678,32.75022674311701,655.0045348623403
679,32.701993714040256,654.0398742808052
680,32.653902546813725,653.0780509362746
681,32.60595261649535,652.1190523299069
682,32.55814330180841,651.1628660361682
683,32.510473985114686,650.209479702294
684,32.46294405238791,649.2588810477583
685,32.415552893187346,648.311057863747
686,32.368299900631676,647.3659980126337
687,32.321184471373115,646.4236894274625
688,32.274206005571706,645.4841201114342
689,32.22736390686986,644.5472781373973
690,32.18065758236715,643.6131516473431
